,visitor_id,date_time,location,ins_factor,product_prices,tra_rec_index,ins_rec_index,order_price
0,7026adfd-17c5-4a57-a487-9d299a59d54c,2020-12-03 06:51:44,California,8,"[29, 14, 26, 23, 27, 10, 13, 17, 24, 18]","[5, 9]","[8, 10, 2, 1, 7, 6, 3, 4]",26
1,4c0ceaea-fcac-4a73-a02c-472864cb8bf8,2020-12-03 06:51:44,Texas,9,"[23, 19, 21, 27, 18, 12, 13, 17, 11, 10]",[4],"[9, 2, 10, 3, 8, 5, 6, 7, 1]",41
2,000679bf-886c-4b8d-9331-bc9554145c86,2020-12-03 06:51:44,Texas,8,"[19, 18, 10, 12, 23, 27, 13, 26, 22, 14]","[2, 6]","[5, 10, 3, 1, 4, 8, 7, 9]",12
3,8ae2e7cb-716d-4457-a250-e6e0b764239a,2020-12-03 06:51:44,Georgia,7,"[14, 16, 11, 13, 22, 17, 19, 26, 29, 20]","[8, 10, 1]","[5, 7, 3, 6, 4, 9, 2]",32
4,5f8e1a94-fe38-4679-8691-cd455c5d73a9,2020-12-03 06:51:44,Florida,9,"[28, 12, 14, 29, 20, 22, 26, 15, 17, 16]",[1],"[7, 2, 10, 3, 9, 6, 5, 4, 8]",36
5,7ac0abc7-9bb3-424c-b774-50cd7f42cdd5,2020-12-03 06:51:44,New York,5,"[15, 17, 13, 14, 29, 10, 26, 23, 12, 18]","[3, 7, 2, 5, 8]","[10, 1, 6, 9, 4]",99
6,c7867a2b-f578-4d09-a6a2-801737c39679,2020-12-03 06:51:44,Florida,9,"[19, 22, 13, 12, 10, 16, 17, 23, 29, 24]",[7],"[3, 9, 5, 2, 1, 10, 6, 4, 8]",97
7,c3a79adf-63cb-4331-8647-b617feef1d16,2020-12-03 06:51:44,New York,8,"[19, 27, 26, 29, 21, 11, 16, 20, 17, 12]","[9, 1]","[5, 10, 4, 2, 6, 7, 8, 3]",40
8,a417a0c0-4d56-403e-99b8-9b0029a77283,2020-12-03 06:51:44,Texas,5,"[24, 18, 29, 19, 14, 15, 22, 11, 27, 16]","[10, 9, 3, 1, 2]","[7, 6, 8, 4, 5]",6
9,3ab393cd-91c8-4bce-baf8-679588ad2a58,2020-12-03 06:51:44,New York,5,"[25, 19, 17, 22, 12, 23, 28, 24, 16, 20]","[8, 9, 7, 4, 6]","[1, 3, 10, 5, 2]",60
